id,U[m/s],SigmaU[m/s],Alpha,Hs[m],Tp[s],Density[kg/m3],Yaw[deg],Ch 8 Electrical power [W] Mean,Ch 17 Tower base moment Mx[kNm] SeqM3,Ch 18 Tower base moment My[kNm] SeqM3,Ch 19 Tower base moment Mz[kNm] SeqM3,Ch 23 Tower top moment Mx[kNm] SeqM3,Ch 24 Tower top moment My[kNm] SeqM3,Ch 25 Tower top moment Mz[kNm] SeqM3,Ch 27 Blade1 root moment Mx[kNm] SeqM10,Ch 28 Blade1 root moment My[kNm] SeqM10,Ch 29 Blade1 root moment Mz[kNm] SeqM10,Ch 30 Blade2 root moment Mx[kNm] SeqM10,Ch 31 Blade2 root moment My[kNm] SeqM10,Ch 32 Blade2 root moment Mz[kNm] SeqM10,Ch 33 Blade3 root moment Mx[kNm] SeqM10,Ch 34 Blade3 root moment My[kNm] SeqM10,Ch 35 Blade3 root moment Mz[kNm] SeqM10
1,10.15567626,1.505138515,0.033114874,1.616861694,5.556742009,1.153696179,-13.23529434,1.19E+07,1.31E+05,6.98E+04,6.99E+04,7.96E+04,9.19E+03,6.78E+04,2.39E+04,5.64E+04,1.11E+03,2.39E+04,5.66E+04,1.10E+03,2.27E+04,5.63E+04,1.12E+03
2,7.22847387,1.362112203,0.051017969,1.749554289,6.839776801,1.17399621,-11.47058868,4.70E+06,1.38E+05,6.08E+04,4.69E+04,5.61E+04,5.93E+03,4.58E+04,2.19E+04,5.50E+04,6.64E+02,1.98E+04,5.49E+04,6.59E+02,1.95E+04,5.50E+04,6.70E+02
3,13.75660964,1.743080087,0.161110104,2.731946939,7.52585458,1.188184261,-9.705882072,1.50E+07,1.76E+05,1.22E+05,8.91E+04,1.09E+05,1.29E+04,8.63E+04,4.54E+04,6.06E+04,9.84E+02,4.16E+04,6.01E+04,9.53E+02,4.38E+04,6.01E+04,9.62E+02
4,5.730510934,1.090665561,0.212497528,2.235430922,8.692331325,1.199879885,-7.941176414,2.57E+06,1.26E+05,3.42E+04,4.06E+04,4.56E+04,4.52E+03,3.95E+04,1.98E+04,5.49E+04,5.26E+02,1.99E+04,5.47E+04,5.24E+02,1.99E+04,5.49E+04,5.28E+02
5,11.7916081,1.914334297,-0.019338671,3.172059428,9.188289827,1.210330963,-6.176469803,1.50E+07,2.27E+05,1.11E+05,9.92E+04,1.11E+05,1.39E+04,9.59E+04,3.90E+04,5.82E+04,1.13E+03,4.82E+04,5.89E+04,1.15E+03,3.71E+04,5.84E+04,1.14E+03
6,8.669898963,1.288753952,0.020601365,3.290142793,10.28167987,1.220172048,-4.411764145,8.00E+06,1.16E+05,5.15E+04,4.83E+04,5.38E+04,6.67E+03,4.81E+04,1.86E+04,5.50E+04,8.90E+02,1.78E+04,5.47E+04,8.90E+02,1.76E+04,5.51E+04,8.97E+02
7,16.53367982,2.287010085,0.149744145,1.380125992,5.781503732,1.229828,-2.647058487,1.50E+07,2.08E+05,1.55E+05,1.08E+05,1.26E+05,1.58E+04,1.04E+05,5.25E+04,6.23E+04,8.57E+02,5.13E+04,6.25E+04,8.68E+02,5.12E+04,6.24E+04,8.80E+02
8,4.913351638,1.291683245,0.125048242,1.199135647,8.97144407,1.239669085,-0.882352829,1.66E+06,1.25E+05,4.13E+04,4.78E+04,4.68E+04,5.70E+03,4.70E+04,1.91E+04,5.39E+04,5.02E+02,2.25E+04,5.39E+04,5.00E+02,2.29E+04,5.39E+04,4.96E+02
9,10.94658088,1.357117046,0.21343284,2.167187964,9.751917225,1.250120163,0.882353783,1.45E+07,1.51E+05,6.78E+04,7.00E+04,7.78E+04,9.86E+03,6.67E+04,3.66E+04,6.00E+04,1.12E+03,3.69E+04,5.99E+04,1.13E+03,3.71E+04,5.99E+04,1.13E+03
10,7.949450621,1.290467439,-0.082317739,2.192755479,11.465599,1.261815786,2.647060394,7.02E+06,1.27E+05,5.16E+04,6.33E+04,6.04E+04,7.26E+03,6.19E+04,2.44E+04,5.53E+04,8.41E+02,2.58E+04,5.57E+04,8.46E+02,2.49E+04,5.58E+04,8.36E+02
